ticker,month,open,high,low,close,volume,vwap
AAPL,2000-01,0.7084,0.911,0.6486,0.6537,12555177600,0.6537
AAPL,2000-02,0.7798,0.8993,0.7273,0.8594,7319782400,0.8594
AAPL,2000-03,0.9522,1.1275,0.8547,1.0183,8698356800,1.0183
AAPL,2000-04,1.0159,1.0459,0.7863,0.9302,8662404800,0.9302
AAPL,2000-05,0.9363,0.9466,0.6129,0.6298,9807750400,0.6298
AAPL,2000-06,0.7029,0.8641,0.6026,0.7854,8105204800,0.7854
AAPL,2000-07,0.8772,0.9091,0.7029,0.762,5746770400,0.762
AAPL,2000-08,0.7545,0.9222,0.6636,0.9138,5636086400,0.9138
AAPL,2000-09,0.9194,0.9616,0.3805,0.3861,14516930400,0.3861
AAPL,2000-10,0.3355,0.4011,0.2624,0.2933,21905788800,0.2933
AAPL,2000-11,0.2915,0.3449,0.2418,0.2474,8488373600,0.2474
AAPL,2000-12,0.2549,0.2624,0.2043,0.2231,8858970400,0.2231
AAPL,2001-01,0.268,0.3374,0.2165,0.3243,13709460800,0.3243
AAPL,2001-02,0.2952,0.329,0.2699,0.2737,7023766400,0.2737
AAPL,2001-03,0.2746,0.3561,0.2577,0.331,10799062400,0.331
AAPL,2001-04,0.3313,0.4067,0.2812,0.3822,11158991200,0.3822
AAPL,2001-05,0.381,0.4004,0.2894,0.2992,7468434400,0.2992
AAPL,2001-06,0.3019,0.3764,0.2902,0.3486,7638265600,0.3486
AAPL,2001-07,0.3731,0.3782,0.2677,0.2818,8655102400,0.2818
AAPL,2001-08,0.2855,0.2984,0.2591,0.2782,5129359200,0.2782
AAPL,2001-09,0.2774,0.2861,0.2201,0.2326,5531523200,0.2326
AAPL,2001-10,0.2302,0.2912,0.2224,0.2633,7544247200,0.2633
AAPL,2001-11,0.2647,0.3232,0.2587,0.3194,5369744800,0.3194
AAPL,2001-12,0.3059,0.3603,0.3013,0.3284,4629839200,0.3284
AAPL,2002-01,0.3299,0.3708,0.3037,0.3707,8515376800,0.3707
AAPL,2002-02,0.365,0.3896,0.314,0.3254,7837424000,0.3254
AAPL,2002-03,0.3289,0.3794,0.3272,0.3549,5318583200,0.3549
AAPL,2002-04,0.3506,0.3924,0.3449,0.3639,6422836000,0.3639
AAPL,2002-05,0.3642,0.3896,0.332,0.3494,5976157600,0.3494
AAPL,2002-06,0.3423,0.3516,0.2396,0.2657,8708016800,0.2657
AAPL,2002-07,0.2324,0.2818,0.2069,0.2288,8118415200,0.2288
AAPL,2002-08,0.2266,0.2437,0.2095,0.2212,5151686400,0.2212
AAPL,2002-09,0.2173,0.2278,0.2107,0.2174,5291837600,0.2174
AAPL,2002-10,0.2282,0.2465,0.2003,0.241,6611432800,0.241
AAPL,2002-11,0.239,0.2606,0.2251,0.2324,4531721600,0.2324
AAPL,2002-12,0.2099,0.2414,0.2066,0.211,4530439200,0.211
AAPL,2003-01,0.2131,0.2306,0.2033,0.2153,6045832800,0.2153
AAPL,2003-02,0.2161,0.2294,0.2069,0.2251,4114303200,0.2251
AAPL,2003-03,0.221,0.2273,0.2105,0.212,4028404800,0.212
AAPL,2003-04,0.2183,0.2242,0.1907,0.2173,7775342400,0.2173
AAPL,2003-05,0.2137,0.2851,0.2099,0.2692,10811544800,0.2692
AAPL,2003-06,0.2714,0.2953,0.2494,0.2858,6113335200,0.2858
AAPL,2003-07,0.3134,0.3235,0.2776,0.3161,5218270400,0.3161
AAPL,2003-08,0.3149,0.3426,0.2912,0.339,4307564800,0.339
AAPL,2003-09,0.3398,0.3497,0.3022,0.3107,5347484800,0.3107
AAPL,2003-10,0.3106,0.375,0.3028,0.3432,7040191200,0.3432
AAPL,2003-11,0.3459,0.3494,0.2977,0.3136,4974104800,0.3136
AAPL,2003-12,0.3176,0.3284,0.2887,0.3205,5453873600,0.3205
AAPL,2004-01,0.3399,0.3725,0.3176,0.3383,7927802400,0.3383
AAPL,2004-02,0.3368,0.3614,0.3254,0.3587,4922030400,0.3587
AAPL,2004-03,0.3539,0.422,0.3539,0.4055,11626115200,0.4055
AAPL,2004-04,0.4032,0.4436,0.3822,0.3866,8930174400,0.3866
AAPL,2004-05,0.3899,0.4316,0.3824,0.4208,5304275200,0.4208
AAPL,2004-06,0.4167,0.5127,0.414,0.488,8227234400,0.488
AAPL,2004-07,0.4791,0.5043,0.431,0.485,9696579200,0.485
AAPL,2004-08,0.4676,0.5275,0.4454,0.5172,8011365600,0.5172
AAPL,2004-09,0.5143,0.5889,0.5127,0.5811,7673506400,0.5811
AAPL,2004-10,0.7774,0.7978,0.5646,0.7826,16094366400,0.7826
AAPL,2004-11,0.7873,1.0432,0.7804,1.0054,17439604000,1.0054
AAPL,2004-12,0.9719,1.0189,0.9237,0.9657,15948615200,0.9657
AAPL,2005-01,1.0474,1.168,0.9387,1.1532,25708244800,1.1532
AAPL,2005-02,1.1554,1.3628,1.1484,1.3454,21448946400,1.3454
AAPL,2005-03,1.3271,1.3529,1.1646,1.2497,14675920000,1.2497
AAPL,2005-04,1.2623,1.3331,1.0197,1.0815,19375518400,1.0815
AAPL,2005-05,1.086,1.2278,0.993,1.1924,12858294400,1.1924
AAPL,2005-06,1.1963,1.2224,1.0653,1.104,11327195600,1.104
AAPL,2005-07,1.2452,1.331,1.0884,1.2791,10094246400,1.2791
AAPL,2005-08,1.4213,1.4495,1.2602,1.4063,9400806800,1.4063
AAPL,2005-09,1.4096,1.6363,1.3823,1.6078,12347770400,1.6078
AAPL,2005-10,1.6243,1.7389,1.4357,1.7272,18643447200,1.7272
AAPL,2005-11,1.7167,2.1315,1.7056,2.034,13456427600,2.034
AAPL,2005-12,2.0679,2.2631,2.0637,2.1561,13064164400,2.1561
AAPL,2006-01,2.5702,2.5912,2.1255,2.2646,21878371200,2.2646
AAPL,2006-02,2.1666,2.2931,1.8864,2.1624,18760697200,2.1624
AAPL,2006-03,2.0814,2.0991,1.7296,1.881,23192632400,1.881
AAPL,2006-04,1.8624,2.1609,1.831,2.1111,20119282400,2.1111
AAPL,2006-05,2.1225,2.2133,1.7602,1.7926,15608779200,1.7926
AAPL,2006-06,1.7278,1.8924,1.6618,1.7176,17936623600,1.7176
AAPL,2006-07,1.5943,2.0583,1.5044,2.0382,17479742000,2.0382
AAPL,2006-08,2.0178,2.0994,1.8768,2.0082,17887646000,2.0082
AAPL,2006-09,2.0538,2.3327,2.034,2.3087,17721558400,2.3087
AAPL,2006-10,2.2328,2.4773,2.1773,2.4317,14387956800,2.4317
AAPL,2006-11,2.4323,2.794,2.333,2.749,13834884000,2.749
AAPL,2006-12,2.7532,2.7691,2.3024,2.5444,16890792800,2.5444
AAPL,2007-01,2.7622,2.9331,2.4563,2.5711,27209781200,2.5711
AAPL,2007-02,2.5861,2.7235,2.4851,2.5375,13722354800,2.5375
AAPL,2007-03,2.6023,2.904,2.5117,2.7865,15918644000,2.7865
AAPL,2007-04,2.7049,3.0741,2.6872,2.9931,13459740000,2.9931
AAPL,2007-05,2.9868,3.664,2.9556,3.6346,17365068000,3.6346
AAPL,2007-06,3.6319,3.8272,3.461,3.6601,23279541600,3.6601
AAPL,2007-07,4.1445,4.4663,3.5779,3.9516,24018573600,3.9516
AAPL,2007-08,4.008,4.1882,3.3476,4.1532,24360798000,4.1532
AAPL,2007-09,4.1969,4.6486,3.8988,4.6027,20931223600,4.6027
AAPL,2007-10,4.6951,5.7019,4.5865,5.6968,23277791600,5.6968
AAPL,2007-11,5.6563,5.7787,4.5176,5.465,26199790400,5.465
AAPL,2007-12,5.4542,6.087,5.3081,5.9406,17252678800,5.9406
AAPL,2008-01,4.8499,6.006,3.7831,4.0596,35173888400,4.0596
AAPL,2008-02,4.086,4.0965,3.4622,3.7495,24865954400,3.7495
AAPL,2008-03,3.7321,4.3709,3.5389,4.3037,22927273600,4.3037
AAPL,2008-04,4.4621,5.3984,4.307,5.2169,22786982400,5.2169
AAPL,2008-05,5.2472,5.7655,5.1585,5.6608,18588214400,5.6608
AAPL,2008-06,5.6563,5.6968,4.923,5.0217,19475794800,5.0217
AAPL,2008-07,5.0541,5.4257,4.3946,4.7671,19749760800,4.7671
AAPL,2008-08,4.6966,5.4119,4.5859,5.0844,13085755200,5.0844
AAPL,2008-09,5.1705,5.2034,3.0168,3.4088,24067562400,3.4088
AAPL,2008-10,3.3566,3.491,2.5492,3.2267,41426711200,3.2267
AAPL,2008-11,3.2987,3.3527,2.3735,2.7793,23619461600,2.7793
AAPL,2008-12,2.6812,3.1071,2.5357,2.5597,20213846800,2.5597
AAPL,2009-01,2.5282,2.9142,2.3453,2.7031,18105740800,2.7031
